"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",159.981575502526,-0.895520429541209,0.186728017425369,8.16692411263196e-07,4.4794113670204e-06
"YAL002W",74.10257592467,-1.20351648761785,0.234008411781966,1.00181021617238e-07,6.3472821560252e-07
"YAL003W",344.568611867553,-0.87046096258139,0.188767567476491,2.0783852690517e-06,1.05368477670801e-05
"YAL005C",3185.78796847797,1.35217941757133,0.15033306128527,6.688308368758e-20,1.820807967787e-18
"YAL007C",67.7733049651271,0.833802808370718,0.268068102284777,0.000984337328846,0.0028557757443211
"YAL008W",62.7348137618342,-0.57996372293009,0.239013092571402,0.0113179888822259,0.0248354249966253
"YAL009W",28.6364167286236,-1.28546689051603,0.372442642454252,0.000179093860499928,0.000615067739804475
"YAL010C",20.4172731406768,-0.479605262235689,0.406323144468593,0.176805588577965,0.257666809851338
"YAL011W",57.0040011862592,1.03246707124924,0.463652734711337,0.00929577543312125,0.0208900916442778
"YAL012W",97.5332513948476,2.60196819593502,0.275607547556413,4.52354729533589e-22,1.45780480944825e-20
"YAL013W",42.6981716370362,0.634438363261201,0.33017301310819,0.035670751066158,0.0674497360787929
"YAL014C",23.1743472764839,-0.0607631121307064,0.367623224626351,0.852397330037907,0.894087417608375
"YAL015C",25.0140068459184,0.387590173085706,0.379415081258314,0.248853975297551,0.339589700325932
"YAL016W",284.491059137392,-0.654365363835999,0.206418177812606,0.00101923428941995,0.00294474476917571
"YAL017W",394.595801103171,-0.925533290906779,0.17980470281299,1.26669104690974e-07,7.85032434685639e-07
"YAL018C",2.00925969472589,1.83807970371022,1.70926441481384,0.0195324788998941,0.0400180890725664
"YAL019W",111.343446464077,-0.660586040014286,0.229076771638889,0.00260008288871909,0.00678708151599966
"YAL020C",18.0505713969015,-1.71119407562455,0.612853492513981,0.000918425230236278,0.00268545915775806
"YAL021C",90.377127440441,-1.74713608501995,0.356930597932632,1.77086380502601e-07,1.07404781338403e-06
"YAL022C",38.0842259990598,-1.04800163693098,0.379120220871321,0.00214308805928743,0.00569897012019254
"YAL023C",174.768267104449,0.263295851687749,0.216939065418843,0.20837770581748,0.293977255580647
"YAL024C",45.9105180933525,-0.402277608469061,0.309876800863832,0.160869174915303,0.239096165422673
"YAL025C",38.5105664594845,0.0278202787157121,0.361517698392873,0.933156291783944,0.952262185334864
"YAL026C",95.2979099193232,-1.24179337103222,0.276412168908174,2.32284879493555e-06,1.16474554376836e-05
"YAL027W",25.5257910075025,-0.244166563825264,0.330399421560133,0.417609534426752,0.51569760651456
"YAL028W",20.8020039317077,0.513411036494226,0.397566376246462,0.14033614040293,0.21398569541746
"YAL029C",196.116820767433,-0.831075133689554,0.208221399459685,3.61316103649978e-05,0.000145650210274589
"YAL030W",92.0150262635475,-0.15985402205124,0.213971958210369,0.441120422358451,0.538705440004318
"YAL031C",90.7818331205547,-1.25667511489097,0.251325005916449,1.84053785369352e-07,1.11290939997168e-06
"YAL032C",39.2352104152458,-1.02922433566131,0.314980430768626,0.000428843058477667,0.00135997995459779
"YAL033W",19.4660816498865,-0.523142273513283,0.393164796253211,0.130709574654946,0.202098154588379
"YAL034C",211.862388084946,0.882635521419619,0.241159582324458,0.000127829737676119,0.000454997549865684
"YAL034W-A",11.2836293068823,-0.152854654615093,0.43198377354986,0.677857056957557,0.752890092236457
"YAL035W",397.262179909256,0.761589797946178,0.284850904026224,0.00432447557362353,0.0106057274249048
"YAL036C",35.6956688391413,-0.455065153185816,0.321371492382248,0.123761918920442,0.193108757027919
"YAL037C-A",0.973556983336809,-0.126574139272164,0.744866441238541,0.708190133551463,0.776859167660317
"YAL037W",13.7036705502304,-2.19811680091849,0.607446402203177,3.95843772513194e-05,0.000158390642397561
"YAL038W",2284.43679739719,-2.72285518203646,0.176268699160235,7.90257776208215e-55,1.57050562058446e-52
"YAL039C",75.1724083262913,0.0497059092365809,0.229253233714812,0.826296466756498,0.873471548723802
"YAL040C",48.7133094000107,-2.02117927041803,0.364935392582004,5.81682369822509e-09,4.40100290467234e-08
"YAL041W",57.4987938951122,-1.30630618988369,0.292670020369724,2.46752640677038e-06,1.22799602981344e-05
"YAL042W",70.3484062390636,-0.80802494923307,0.267113311315791,0.00133897074265679,0.00374610209653672
"YAL043C",31.3870038814159,-0.478017601512372,0.381307538815458,0.159118248839327,0.237165749895017
"YAL044C",134.392782754309,0.991699590612363,0.199571920144134,3.01142166959466e-07,1.76020548961994e-06
"YAL044W-A",48.2971461249753,0.16849894939912,0.302168068996274,0.55079165957584,0.640301091896655
"YAL046C",27.4851459985134,0.295900196077886,0.372582693015209,0.373877194205839,0.472758394879154
"YAL047C",21.1002625778174,0.042934023181092,0.406307005862476,0.905029400920457,0.931344487271897
"YAL048C",31.8980946780071,-1.54629082572731,0.379097598368246,9.64570066906452e-06,4.31739244661882e-05
"YAL049C",247.681198023685,0.0337366509641284,0.1828850854769,0.851278387349062,0.89338527466557
"YAL051W",107.034627148836,-0.723835660832471,0.214519001572008,0.000448788223699456,0.0014157012643895
"YAL053W",174.366094748089,-1.13173478612919,0.266110143572711,7.44140338012225e-06,3.40227353928596e-05
"YAL054C",115.427187453001,0.235274148460477,0.252464836248863,0.327484742467443,0.423803784369633
"YAL055W",41.0564089947481,0.841015884024459,0.442006727708557,0.0267471025810375,0.0527684399696048
"YAL056W",220.589887011394,-1.80899839869727,0.248763353614916,6.41230051875026e-14,8.95319337067659e-13
"YAL058W",21.9940533657574,-1.07233774688826,0.497032719605637,0.0104660981471187,0.0231793748711447
"YAL059W",26.5376754366921,-0.627227714775608,0.389724548518896,0.0684307099741073,0.117191874864953
