"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",159.981575502526,-0.440747412351179,0.186227192364201,0.0128137900834672,0.0350278846756677
"YAL002W",74.10257592467,-0.0164601368424995,0.230827153504765,0.937771113294029,0.959144973823669
"YAL003W",344.568611867553,-1.10212807667123,0.189848715993966,1.61320886277441e-09,2.52439665088216e-08
"YAL005C",3185.78796847797,1.11558045607561,0.150470289197429,2.90634713702795e-14,9.84525092668219e-13
"YAL007C",67.7733049651271,-0.865838351013921,0.243643976109324,0.000127243188562083,0.000692603338401081
"YAL008W",62.7348137618342,-0.13838425229458,0.233128660601944,0.515532102425007,0.64301305327571
"YAL009W",28.6364167286236,-1.11340957846323,0.379258808301801,0.000753509703640605,0.00326484364324512
"YAL010C",20.4172731406768,-0.943705552706253,0.429711524496684,0.00746456702704279,0.0224426367197323
"YAL011W",57.0040011862592,1.06428700288284,0.480558502084611,0.00530260309215166,0.0168428980476336
"YAL012W",97.5332513948476,0.0208761580605492,0.212823571030751,0.918073911334578,0.948018710131934
"YAL013W",42.6981716370362,0.23792703646717,0.302471317324394,0.364820907876328,0.498401625318245
"YAL014C",23.1743472764839,-0.265547378516664,0.351446176116205,0.358453288506691,0.492986967953147
"YAL015C",25.0140068459184,-0.0112082932199724,0.33628457639861,0.966420707106029,0.978068283104081
"YAL016W",284.491059137392,-0.491548336306139,0.20530714556252,0.0106917742794023,0.030072611097975
"YAL017W",394.595801103171,-0.0740885639368898,0.175798279832094,0.658486338142385,0.763644339234565
"YAL018C",2.00925969472589,0.222002383976656,0.575977110630865,0.423351839442295,0.559645627689047
"YAL019W",111.343446464077,-0.767580302049359,0.23040986667986,0.000353132617562462,0.00168835338083994
"YAL020C",18.0505713969015,-1.60692278568647,0.635726818593305,0.00119650519614787,0.00485937600778858
"YAL021C",90.377127440441,-1.32952925933617,0.363662484516147,3.91553863364756e-05,0.000246509412183809
"YAL022C",38.0842259990598,-0.698037028445259,0.378046787025155,0.0246645059835708,0.059703526055237
"YAL023C",174.768267104449,-0.568740754955477,0.215289443900115,0.0046044015333351,0.0150089895799584
"YAL024C",45.9105180933525,-0.684062093829783,0.31560362158334,0.0133385012177247,0.0361946628969792
"YAL025C",38.5105664594845,-0.970785245777265,0.388989800562108,0.00323392079569925,0.0111771801646139
"YAL026C",95.2979099193232,-0.978818223458734,0.278816642820251,0.00012894393012082,0.000699512021274183
"YAL027W",25.5257910075025,0.109595190411722,0.316480555702302,0.687416403083586,0.785280052727408
"YAL028W",20.8020039317077,1.44645826368889,0.476685618677888,0.000318167138344077,0.00154346011294336
"YAL029C",196.116820767433,-0.766122272784391,0.209162896137017,0.000103773439980369,0.000585333253701947
"YAL030W",92.0150262635475,0.0277048431005326,0.210279180394556,0.889417080385246,0.930625593762169
"YAL031C",90.7818331205547,-0.37082973798371,0.246745396293588,0.0994774374159964,0.183390377821327
"YAL032C",39.2352104152458,-0.888512649882518,0.318609648708225,0.00159073335944757,0.00618653117353319
"YAL033W",19.4660816498865,-0.792460791407104,0.405548447460981,0.0170505630733867,0.0440830256043069
"YAL034C",211.862388084946,1.52158843243323,0.249406084403804,1.63634271063102e-10,3.05826810055866e-09
"YAL034W-A",11.2836293068823,-0.327601659116193,0.411037636495906,0.300575623238229,0.434602137908042
"YAL035W",397.262179909256,0.199419173235625,0.264582132711173,0.405104067323435,0.540682885467275
"YAL036C",35.6956688391413,-1.09888853102304,0.331091772415475,0.000203930311860397,0.00104722869880421
"YAL037C-A",0.973556983336809,-0.0165438970238839,0.57835492194563,0.934037650675924,0.957155804972475
"YAL037W",13.7036705502304,-0.387064965128403,0.503275212102484,0.247355153021649,0.375536394783569
"YAL038W",2284.43679739719,-1.41877001423226,0.177391079940382,2.00758879591477e-16,8.86610696388435e-15
"YAL039C",75.1724083262913,-0.0104561498507909,0.222380901440568,0.958529544718373,0.973047168980923
"YAL040C",48.7133094000107,-1.59890064571322,0.372992018483214,2.63987384463142e-06,2.23247203711951e-05
"YAL041W",57.4987938951122,-0.830259161598886,0.295216801521386,0.00175930873678946,0.00673667224710262
"YAL042W",70.3484062390636,-0.451484294848912,0.263387549437342,0.0565488292605812,0.116618512643232
"YAL043C",31.3870038814159,-0.671345247897778,0.392599583487436,0.0354643034248078,0.0797177722471553
"YAL044C",134.392782754309,0.565105065318098,0.193338784477592,0.00203279792896783,0.00761277716865969
"YAL044W-A",48.2971461249753,0.146496323491549,0.28892815611968,0.5675895004433,0.687798496268893
"YAL046C",27.4851459985134,-0.835853723790841,0.378825102062566,0.00838440390290714,0.0247464435985804
"YAL047C",21.1002625778174,0.122522739195416,0.376191662851718,0.684669713351766,0.783493441651292
"YAL048C",31.8980946780071,-0.663892949052164,0.375677675355144,0.0323670392966678,0.0739924418277353
"YAL049C",247.681198023685,-0.267120347854273,0.180283526096258,0.119605697650096,0.212432752875245
"YAL051W",107.034627148836,-0.00983936386210179,0.210544326416775,0.958985616138316,0.973047168980923
"YAL053W",174.366094748089,-0.9485885563481,0.268664834911085,0.000113182878483217,0.000631831761719984
"YAL054C",115.427187453001,0.147531701873714,0.244173498119023,0.509105173416513,0.638093425178318
"YAL055W",41.0564089947481,0.302391448182112,0.381845799434498,0.321742621956568,0.456179728409003
"YAL056W",220.589887011394,-0.910517285685873,0.25119809107155,8.79010106913828e-05,0.000505855044152533
"YAL058W",21.9940533657574,-0.79191701676992,0.498772832272773,0.0318548631859734,0.0730175679795361
"YAL059W",26.5376754366921,-0.722148539764265,0.398105422794022,0.0256600075267304,0.0615257899153426
"YAL060W",307.917817944595,1.86060985424698,0.263787137623399,1.86332453150908e-13,5.34093310425823e-12
"YAL061W",169.495525636895,0.449818497181371,0.200196296988826,0.0169604972197022,0.0438691906394207
"YAL062W",71.632531836247,-0.402377456131546,0.26965122770208,0.0948147963643522,0.176431278378361
"YAL063C",36.4568542082585,0.380030075927141,0.286716005216475,0.134197982405384,0.232729135261646
"YAL063C-A",0.205103223753382,-0.00453957953625842,0.61430315079388,0.905339335146876,0.940282778098376
"YAL064C-A",0,NA,NA,NA,NA
"YAL064W",0,NA,NA,NA,NA
"YAL064W-B",0,NA,NA,NA,NA
"YAL065C",4.60185200218014,-0.102388104997433,0.477541035088683,0.735731840981591,0.820661035721655
"YAL067C",60.6998134661586,-1.01198330283294,0.267983440120024,4.01334747764411e-05,0.00025240060824593
"YAL067W-A",0.588605038435322,0.0127556396203683,0.59892076587441,0.848485562807893,0.902185722985649
"YAL068C",1.73162442971762,0.832119630999702,1.63919196494993,0.0113859464450771,0.031750707532998
"YAR002C-A",109.017275495135,-1.29878614098997,0.233689813230268,4.65025334842976e-09,6.77868226487487e-08
"YAR002W",55.3684921662067,-0.557585040384325,0.287364807312716,0.0286083525404733,0.0673036248938015
"YAR003W",46.0166523887282,-2.14328141735158,0.368843703043708,6.83306883087784e-10,1.13163212138038e-08
"YAR007C",95.7474098990496,-0.502833733933406,0.25856252329866,0.031325078233228,0.0720803228199556
"YAR008W",30.4309251437438,-1.28200487036522,0.379724748249857,0.000134640865845635,0.000727109458488838
"YAR009C",0,NA,NA,NA,NA
"YAR010C",0,NA,NA,NA,NA
"YAR014C",68.484785124021,-1.59140386659589,0.28556662765763,3.8973058812358e-09,5.75142021384353e-08
"YAR015W",117.42511564193,-1.75017538229704,0.230420942553693,3.8780222583182e-15,1.48210055795469e-13
"YAR018C",12.0756416996402,-1.00735980297678,0.516953949964557,0.0107685147084003,0.0302553650760991
"YAR019C",38.5208590604087,-0.0367752117043546,0.273892076205091,0.879861775557928,0.922897418864521
"YAR020C",1.47042648143856,-0.0301758430743256,0.567976326751894,0.888896145786203,0.930243781143996
"YAR023C",9.91660351847157,-0.0654987312448834,0.422075511725002,0.829062189048215,0.887249824287464
"YAR027W",24.5909458350183,-1.54333639973198,0.385647388099242,8.51010968553511e-06,6.37402939009552e-05
"YAR028W",2.84182321184126,-0.0341442073846397,0.504408296286547,0.89807174828298,0.935739909692962
"YAR029W",1.52147021148778,-0.170401777731036,0.58808798967293,0.478405026179587,0.611414955216013
"YAR031W",0.0749827774935458,-0.0403360964985209,0.613527377183588,0.899582973118689,0.936659742531195
"YAR033W",1.26624071582701,-0.394065012211581,0.741183883691787,0.0896864838290832,0.168891603470939
