"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",159.981575502526,-0.420493301931269,0.173997055454743,0.0113630607569538,0.0333562620546324
"YAL002W",74.10257592467,-1.17277322487374,0.226412113158101,4.33492752885596e-08,5.17932623788361e-07
"YAL003W",344.568611867553,0.222258630082432,0.17576781554838,0.186017421028574,0.313110068936296
"YAL005C",3185.78796847797,0.218175827214345,0.146745816774444,0.125533780365899,0.231497803446177
"YAL007C",67.7733049651271,1.76856487177161,0.25698149914752,6.59728087968583e-13,1.63887452519529e-11
"YAL008W",62.7348137618342,-0.405109843756834,0.22384018316637,0.0499039502372728,0.113003695955401
"YAL009W",28.6364167286236,-0.103838935144807,0.279971695472183,0.672240266738983,0.787715501237778
"YAL010C",20.4172731406768,0.414684784673456,0.353621167246065,0.154319147094295,0.272365528412134
"YAL011W",57.0040011862592,-0.0561699245510355,0.372080944375664,0.846329933788315,0.910962098798688
"YAL012W",97.5332513948476,2.57499169737698,0.273641575831267,3.9980154649286e-22,2.56302883891444e-20
"YAL013W",42.6981716370362,0.323171784405339,0.309851606177852,0.222761747578275,0.359238717625555
"YAL014C",23.1743472764839,0.210747323508486,0.335476882084124,0.447552221946218,0.596402849182689
"YAL015C",25.0140068459184,0.354669281807161,0.356274543945562,0.220694626498411,0.356676975652894
"YAL016W",284.491059137392,-0.135385622251331,0.194179501035981,0.458686488592893,0.607411170434199
"YAL017W",394.595801103171,-0.834065850265289,0.178194092150576,9.65962097874747e-07,8.99854066801444e-06
"YAL018C",2.00925969472589,0.45929064469461,0.767387456629172,0.084526517903773,0.170482780697664
"YAL019W",111.343446464077,0.11390999034609,0.205340944670726,0.556471785196261,0.69461916465394
"YAL020C",18.0505713969015,-0.0229728299840082,0.384455215640266,0.93450544120246,0.969466058891433
"YAL021C",90.377127440441,-0.299964255541673,0.299790564910103,0.244491971726165,0.384716991124603
"YAL022C",38.0842259990598,-0.227139923992737,0.312161298078898,0.38545373189542,0.537787089272853
"YAL023C",174.768267104449,0.845308625513442,0.217595205324859,3.35682077600991e-05,0.000216533438159565
"YAL024C",45.9105180933525,0.276783676046526,0.278836308096104,0.262295934104767,0.404189288997834
"YAL025C",38.5105664594845,1.01037794431742,0.381668246216835,0.00184968283239906,0.00711471551404077
"YAL026C",95.2979099193232,-0.20379325168059,0.238455717215457,0.349708871521909,0.49927305843238
"YAL027W",25.5257910075025,-0.337378475518554,0.314208620069848,0.20879837285782,0.341056410678992
"YAL028W",20.8020039317077,-0.778754271941188,0.457041272352412,0.0262240067368332,0.0669009534296104
"YAL029C",196.116820767433,-0.0450635995494026,0.190032688900179,0.801090729007334,0.879415011294739
"YAL030W",92.0150262635475,-0.178503451693264,0.204369499473516,0.350627245852391,0.500224847995204
"YAL031C",90.7818331205547,-0.816151238188088,0.237884830415322,0.000198244356454269,0.00102598337949683
"YAL032C",39.2352104152458,-0.0896693813008899,0.251732064558484,0.692809337896769,0.803876901424738
"YAL033W",19.4660816498865,0.260127500434938,0.324797423810788,0.343402904844776,0.492274132888809
"YAL034C",211.862388084946,-0.581484787508044,0.243844321880491,0.00907385255715475,0.0277285027912643
"YAL034W-A",11.2836293068823,0.193531601338878,0.373513873602497,0.5117162660887,0.655111096933827
"YAL035W",397.262179909256,0.499983355677618,0.27796205482915,0.0427124218244777,0.0990091208855117
"YAL036C",35.6956688391413,0.597680957714807,0.291091501067041,0.0195311062473876,0.0522368940200133
"YAL037C-A",0.973556983336809,-0.0620774395257569,0.559081950289837,0.756639934216517,0.847948738308059
"YAL037W",13.7036705502304,-1.43636189609693,0.536772529608829,0.000788287732512132,0.00338600249368684
"YAL038W",2284.43679739719,-1.25766104010129,0.17401054323105,8.72474288181463e-14,2.47699605054185e-12
"YAL039C",75.1724083262913,0.0565455101052075,0.216951327239771,0.780453262892941,0.866368481931637
"YAL040C",48.7133094000107,-0.316500972144958,0.28280521417975,0.201412295699192,0.332340257402596
"YAL041W",57.4987938951122,-0.385328586626629,0.249773429193074,0.0890132293598953,0.177728356813026
"YAL042W",70.3484062390636,-0.29568764964356,0.240572542874516,0.175916448029282,0.300037816158384
"YAL043C",31.3870038814159,0.200191691888346,0.3297995663469,0.466647510097597,0.614297296357225
"YAL044C",134.392782754309,0.38403916543842,0.19562951505584,0.037183288565798,0.0883214208881625
"YAL044W-A",48.2971461249753,0.00657975673395763,0.281430346143015,0.980352190617256,0.993348021832101
"YAL046C",27.4851459985134,1.20809328485843,0.386769086662732,0.000293404551611114,0.00142914864109923
"YAL047C",21.1002625778174,-0.0848968428852568,0.364752486357944,0.768847779183322,0.858115238333955
"YAL048C",31.8980946780071,-0.70174210488061,0.326818409519132,0.0123244514833514,0.0358081772630317
